col.0: MtotZAMS/Msun  col.1:num mergers
430509781.0324014 817
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_2594514 91.8693 27.633 21.6303 18.0577 39.688 5217.3823 26.674 0.012598 0.0 0.0 1.0 1.0 2.043 -0.0 -0.0 3.657 -0.0 -0.0 3.961 7.087 False
0_2623884 81.9242 24.99 19.6712 16.7388 36.41 2966.092 21.687 0.013733 0.0 0.0 1.0 1.0 2.242 0.0 -0.0 4.197 0.0 -0.0 4.101 7.382 False
0_2657900 102.2444 33.8331 23.5697 20.2318 43.801500000000004 10203.2002 34.124 0.011415 0.0 0.0 1.0 1.0 1.75 0.0 -0.0 3.039 -0.0 -0.0 3.849 6.662 False
0_2672726 28.4235 17.2661 6.4619 3.9645 10.426400000000001 996.2003 118.74 0.98596 9.588 119.1536 0.9998 0.4591 7.14 2.654 -0.2524 64.11 -16.33 4.083 7.547 12.1 True
0_2672972 87.1559 26.6078 21.2137 17.4953 38.709 10031.3232 30.941 0.012917 0.0 0.0 1.0 1.0 2.034 0.0 -0.0 3.457 0.0 0.0 4.016 7.217 False
0_2779556 78.1165 23.6587 19.4144 16.114 35.528400000000005 6640.4902 26.107 0.014073 0.0 0.0 1.0 1.0 2.24 0.0 0.0 3.917 0.0 0.0 4.158 7.555 False
0_2811296 67.5827 20.9354 17.3322 14.642 31.9742 11135.7129 27.553 0.015638 0.0 0.0 1.0 1.0 2.336 -0.0 0.0 3.987 0.0 -0.0 4.382 8.02 False
0_2871792 102.667 31.8698 23.4047 19.7608 43.165499999999994 7614.8877 31.302 0.011583 0.0 0.0 1.0 1.0 1.831 -0.0 -0.0 3.22 -0.0 0.0 3.848 6.758 False
0_2996001 70.7731 22.6308 18.0134 15.3121 33.3255 8974.8896 26.895 0.015004 0.0 0.0 1.0 1.0 2.275 0.0 0.0 3.942 0.0 0.0 4.305 7.791 False
0_3043079 72.6174 24.4645 18.456 15.9113 34.3673 12528.6719 29.989 0.014549 0.0 0.0 1.0 1.0 2.124 0.0 0.0 3.652 0.0 0.0 4.263 7.607 False
0_3049280 71.1473 22.5505 17.8714 15.3444 33.2158 4003.241 21.832 0.015053 0.0 0.0 1.0 1.0 2.38 -0.0 0.0 4.362 0.0 -0.0 4.301 7.778 False
0_3059792 84.828 26.6789 20.8698 17.3616 38.2314 13644.207 33.176 0.013078 0.0 0.0 1.0 1.0 1.999 0.0 0.0 3.346 0.0 -0.0 4.047 7.243 False
